date;price_m2;1-room_price_m2;2-room_price_m2;3-room_price_m2;>=4-room_price_m2;price;1-room_price;2-room_price;3-room_price;>=4-room_price;offers_counts;1r_offers_counts;2r_offers_counts;3r_offers_counts;>=4r_offers_counts
2020-11-03 00:02;51716;52935;50997;49975;47431;2890000;2098000;3210000;4289845;4158492;921.0;394.0;311.0;208.0;8.0
2020-11-04 02:40;51931;53000;51171;50000;48025;2915000;2083200;3223059;4294500;4178187;995.0;419.0;346.0;220.0;10.0
2020-11-05 00:23;51983;52935;51959;50000;47970;2860000;2073255;3221118;4210320;4173390;950.0;405.0;333.0;203.0;9.0
2020-11-06 00:23;52432;53154;52615;49714;45865;2890000;2100000;3272600;4184093;4076259;907.0;393.0;328.0;180.0;6.0
2020-11-07 07:15;52521;53431;52152;50109;46782;2946195;2102500;3272600;4205000;4076259;970.0;408.0;354.0;202.0;6.0
2020-11-08 10:41;52531;53535;52230;50264;47970;2946195;2124000;3274000;4205000;4153695;926.0;389.0;337.0;192.0;8.0
2020-11-09 04:33;52531;53535;52014;50264;48025;2921500;2124640;3273600;4205000;4173390;922.0;391.0;330.0;192.0;9.0
2020-11-10 04:33;52892;53990;52371;50000;46782;2917500;2147570;3273000;4193000;4076259;894.0;385.0;320.0;183.0;6.0
2020-11-11 04:34;52650;53817;52563;50000;46782;2888600;2135000;3260000;4200000;4076259;888.0;387.0;320.0;175.0;6.0
2020-11-12 04:33;52971;53968;53060;50000;47489;2943000;2137200;3274563;4200000;4134000;900.0;385.0;326.0;182.0;7.0
2020-11-13 04:34;52916;53858;53182;48964;47489;2950000;2136100;3274281;4175788;4134000;915.0;390.0;332.0;186.0;7.0
2020-11-14 04:33;52897;53921;52916;49459;56098;2936455;2144444;3250000;4173390;6950000;908.0;387.0;331.0;185.0;5.0
2020-11-15 04:33;52868;53968;52868;49706;56098;2915000;2132000;3230000;4175788;6950000;895.0;381.0;329.0;180.0;5.0
2020-11-16 04:33;52897;53944;52883;49988;48196;2943455;2133500;3239227;4184093;5541500;904.0;384.0;332.0;182.0;6.0
2020-11-17 04:33;52598;53944;52702;49168;48196;2900000;2133500;3227000;4178187;5541500;901.0;390.0;325.0;180.0;6.0
2020-11-18 04:33;52967;54035;52941;50000;47072;2936910;2142000;3239227;4195000;4133000;889.0;379.0;326.0;179.0;5.0
2020-11-19 04:33;53130;54378;53313;50000;48196;2960000;2154906;3274563;4200000;5528939;913.0;386.0;332.0;191.0;4.0
2020-11-20 04:34;53026;54195;53274;50109;48196;2960000;2142000;3296400;4200000;5528939;913.0;385.0;338.0;186.0;4.0
2020-11-21 04:33;53130;54334;53375;50000;47072;2965580;2141000;3274563;4289845;5541500;915.0;380.0;343.0;188.0;4.0
2020-11-22 04:34;53095;54017;53417;50310;48196;2980000;2133500;3317066;4410852;4816500;909.0;376.0;334.0;193.0;6.0
2020-11-23 04:34;53026;53863;53445;50218;48196;2961000;2132000;3291188;4410852;4816500;911.0;383.0;331.0;191.0;6.0
2020-11-24 04:34;53005;54130;53277;50000;48196;2976500;2135000;3299400;4357600;4816500;918.0;381.0;339.0;192.0;6.0
2020-11-25 04:34;53132;54373;53313;49976;51570;3025000;2162248;3350000;4400000;5500000;897.0;370.0;330.0;192.0;5.0
2020-11-26 04:34;53409;54634;53274;50000;51570;2997000;2168000;3350000;4410852;5500000;889.0;379.0;328.0;177.0;5.0
2020-11-30 09:57;53842;71400;47160;37899;58165;2993500;2919000;2877000;3300000;4410000;954.0;398.0;353.0;199.0;4.0
